               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.025286,            0.011643,          0.00060018,             0.95697,             0.91721,             0.96641,             0.62266,            0.025381,           0.0074281,          0.00054214,            0.006832,            0.006832,            0.006832
                  66,            0.024997,            0.011509,          0.00045192,             0.96475,             0.89076,             0.96256,             0.61442,            0.025019,           0.0072159,           0.0011286,           0.0067825,           0.0067825,           0.0067825
                  67,            0.025289,            0.011472,          0.00058796,             0.94526,             0.90326,             0.94361,             0.62216,            0.024992,           0.0074155,           0.0009238,            0.006733,            0.006733,            0.006733
                  68,            0.024701,            0.011652,          0.00053667,             0.93777,             0.93712,             0.97042,             0.62238,            0.024874,           0.0072363,           0.0010606,           0.0066835,           0.0066835,           0.0066835
                  69,            0.024923,            0.011413,          0.00050279,             0.92762,              0.9433,             0.96293,              0.6168,            0.024827,           0.0072913,          0.00055879,            0.006634,            0.006634,            0.006634
                  70,            0.024971,            0.011391,          0.00043274,             0.96161,             0.89323,              0.9646,             0.60883,            0.024572,           0.0072542,           0.0011736,           0.0065845,           0.0065845,           0.0065845
                  71,            0.024786,            0.011369,          0.00055334,              0.9527,             0.88246,             0.92842,             0.60428,            0.024715,           0.0072237,           0.0015307,            0.006535,            0.006535,            0.006535
                  72,            0.024559,            0.011342,          0.00043372,             0.98209,             0.92136,             0.97103,             0.61718,            0.025044,           0.0071456,          0.00097918,           0.0064855,           0.0064855,           0.0064855
                  73,            0.024965,            0.011188,          0.00061774,             0.97152,             0.93132,             0.96723,             0.63453,            0.024787,           0.0074166,          0.00074917,            0.006436,            0.006436,            0.006436
                  74,              0.0247,            0.011378,          0.00063034,             0.95931,             0.89295,             0.96348,             0.62536,            0.024718,           0.0071844,          0.00099867,           0.0063865,           0.0063865,           0.0063865
                  75,            0.024477,            0.011296,          0.00049371,             0.96618,             0.94309,             0.97059,             0.63472,             0.02474,           0.0071114,           0.0012078,            0.006337,            0.006337,            0.006337
                  76,            0.024239,            0.011009,           0.0004683,             0.96804,             0.92811,             0.96099,             0.62416,            0.024627,           0.0071852,          0.00088718,           0.0062875,           0.0062875,           0.0062875
                  77,            0.024589,            0.011211,           0.0003575,             0.94769,             0.93744,             0.97152,             0.62684,            0.025077,           0.0073521,          0.00059106,            0.006238,            0.006238,            0.006238
                  78,            0.023924,            0.011106,          0.00039877,              0.9417,              0.9372,             0.97539,             0.63948,            0.025101,           0.0072232,          0.00066079,           0.0061885,           0.0061885,           0.0061885
                  79,            0.024228,            0.011055,          0.00064504,             0.96438,             0.91415,             0.97037,             0.62427,              0.0248,           0.0073614,           0.0008073,            0.006139,            0.006139,            0.006139
                  80,            0.024118,            0.011196,          0.00043248,             0.92779,             0.95929,             0.97717,             0.63481,            0.024909,           0.0074254,           0.0008409,           0.0060895,           0.0060895,           0.0060895
                  81,            0.023579,            0.010822,          0.00049593,             0.94907,                0.93,             0.96587,             0.62946,             0.02444,           0.0074421,          0.00092774,             0.00604,             0.00604,             0.00604
                  82,            0.023881,            0.010838,          0.00041848,             0.96994,             0.90447,             0.96562,             0.64561,            0.024877,           0.0073841,           0.0015385,           0.0059905,           0.0059905,           0.0059905
                  83,            0.023894,            0.011139,          0.00048347,             0.94719,             0.96624,             0.98255,             0.63537,            0.024382,            0.007271,          0.00086106,            0.005941,            0.005941,            0.005941
                  84,            0.023873,            0.010897,           0.0006587,             0.94832,               0.957,             0.97763,             0.62636,             0.02511,           0.0071782,           0.0010489,           0.0058915,           0.0058915,           0.0058915
                  85,            0.023916,            0.010942,          0.00057403,             0.96189,             0.94817,             0.98252,             0.62742,            0.024754,           0.0072243,          0.00064627,            0.005842,            0.005842,            0.005842
                  86,            0.023859,            0.011041,          0.00041798,             0.98616,             0.94912,             0.98407,             0.63017,            0.024769,           0.0072243,          0.00076448,           0.0057925,           0.0057925,           0.0057925
                  87,            0.023765,            0.010922,          0.00051453,              0.9327,             0.90553,             0.95888,             0.62262,            0.024556,            0.007332,          0.00088289,            0.005743,            0.005743,            0.005743
                  88,            0.023434,            0.010648,          0.00043644,             0.97464,             0.97144,             0.98776,             0.64124,            0.024319,           0.0073458,          0.00059753,           0.0056935,           0.0056935,           0.0056935
                  89,            0.023469,            0.010631,          0.00043038,             0.93457,             0.94598,             0.96863,             0.62148,            0.024715,            0.007259,           0.0012354,            0.005644,            0.005644,            0.005644
                  90,            0.023407,            0.010778,          0.00056506,             0.94297,             0.94327,             0.97972,             0.63054,             0.02443,           0.0074633,          0.00079675,           0.0055945,           0.0055945,           0.0055945
                  91,            0.023308,            0.010714,           0.0004648,             0.95565,             0.91172,              0.9659,             0.60805,            0.024058,           0.0073807,          0.00067575,            0.005545,            0.005545,            0.005545
                  92,            0.023446,            0.010757,          0.00045027,             0.99166,             0.91388,             0.97605,             0.62051,            0.024841,           0.0074542,          0.00085619,           0.0054955,           0.0054955,           0.0054955
                  93,             0.02303,            0.010869,          0.00040194,              0.9749,             0.95149,             0.97913,              0.6376,            0.024639,           0.0073996,          0.00074798,            0.005446,            0.005446,            0.005446
                  94,            0.023175,            0.010757,          0.00036209,             0.98198,             0.90777,             0.96785,             0.61707,            0.025035,           0.0072091,          0.00096897,           0.0053965,           0.0053965,           0.0053965
                  95,            0.023381,            0.010583,          0.00035764,             0.96479,             0.91465,             0.95567,             0.62749,            0.024251,           0.0072542,           0.0011682,            0.005347,            0.005347,            0.005347
                  96,            0.022803,            0.010754,          0.00036686,             0.96461,             0.90794,             0.96135,             0.62697,            0.024652,           0.0073261,          0.00084914,           0.0052975,           0.0052975,           0.0052975
                  97,            0.022807,            0.010432,          0.00040566,             0.98065,              0.9193,             0.98025,             0.64588,            0.024052,           0.0073116,          0.00086678,            0.005248,            0.005248,            0.005248
                  98,            0.022978,            0.010552,          0.00048221,             0.96111,             0.92444,             0.96357,             0.64784,            0.024591,           0.0073065,          0.00085014,           0.0051985,           0.0051985,           0.0051985
                  99,            0.023045,            0.010921,          0.00043049,              0.9302,             0.96041,             0.97565,             0.63175,            0.024367,           0.0073791,          0.00068021,            0.005149,            0.005149,            0.005149
                 100,            0.022434,            0.010503,          0.00026465,             0.95786,             0.95303,             0.97721,             0.63717,            0.024528,           0.0073178,          0.00083257,           0.0050995,           0.0050995,           0.0050995
                 101,            0.022227,            0.010535,          0.00032809,             0.97715,             0.89918,             0.97078,             0.63899,            0.024497,           0.0073081,          0.00070486,             0.00505,             0.00505,             0.00505
                 102,            0.022429,            0.010603,           0.0003563,              0.9372,             0.95975,             0.96699,             0.62449,            0.025189,           0.0072605,          0.00076232,           0.0050005,           0.0050005,           0.0050005
                 103,            0.022563,            0.010648,          0.00051408,             0.94968,             0.96172,             0.97954,             0.62867,             0.02472,           0.0073318,          0.00076068,            0.004951,            0.004951,            0.004951
                 104,            0.022488,            0.010559,          0.00046301,             0.98093,             0.95697,             0.98378,             0.65357,            0.024486,           0.0071721,          0.00078917,           0.0049015,           0.0049015,           0.0049015
                 105,            0.022642,            0.010481,          0.00043495,             0.98966,             0.90618,             0.97737,             0.63291,            0.025045,            0.007367,           0.0006047,            0.004852,            0.004852,            0.004852
                 106,            0.022106,            0.010565,          0.00030508,             0.96961,             0.93473,             0.96267,             0.62534,             0.02517,           0.0072717,          0.00084001,           0.0048025,           0.0048025,           0.0048025
                 107,            0.021988,             0.01064,          0.00038423,             0.97157,             0.95461,             0.98161,             0.63787,            0.024884,           0.0074634,          0.00073336,            0.004753,            0.004753,            0.004753
                 108,            0.022132,            0.010231,          0.00057828,             0.95922,             0.95526,              0.9819,             0.64766,            0.024658,            0.007458,          0.00052642,           0.0047035,           0.0047035,           0.0047035
                 109,            0.022308,            0.010358,          0.00031977,             0.98988,             0.93792,             0.97477,             0.63958,            0.025002,            0.007373,           0.0006196,            0.004654,            0.004654,            0.004654
                 110,            0.021897,            0.010398,          0.00027558,              0.9657,             0.90428,             0.95801,             0.63039,            0.025452,           0.0074634,           0.0012911,           0.0046045,           0.0046045,           0.0046045
                 111,            0.022187,            0.010348,          0.00049259,             0.98726,             0.92698,             0.95911,             0.62945,            0.024779,           0.0074232,          0.00099942,            0.004555,            0.004555,            0.004555
                 112,            0.021893,            0.010528,          0.00031085,             0.93431,             0.93336,             0.95323,             0.63524,            0.024498,           0.0075343,           0.0012591,           0.0045055,           0.0045055,           0.0045055
                 113,            0.022169,            0.010058,          0.00038134,             0.94621,             0.90301,             0.95108,             0.62899,            0.024938,           0.0074064,           0.0012569,            0.004456,            0.004456,            0.004456
                 114,            0.022126,            0.010353,          0.00039923,             0.94257,              0.9211,             0.95442,             0.62893,            0.024903,           0.0075063,           0.0010909,           0.0044065,           0.0044065,           0.0044065
                 115,            0.021839,            0.010358,          0.00038479,              0.9842,             0.91085,             0.97758,             0.63754,            0.025043,           0.0073952,          0.00094486,            0.004357,            0.004357,            0.004357
                 116,            0.021615,            0.010295,          0.00041116,             0.95793,             0.91032,             0.95579,             0.63689,            0.024812,           0.0074181,           0.0010665,           0.0043075,           0.0043075,           0.0043075
                 117,            0.021393,            0.010123,           0.0002589,             0.96573,             0.95564,             0.98579,              0.6484,            0.024533,           0.0073401,           0.0015227,            0.004258,            0.004258,            0.004258
                 118,              0.0216,             0.01019,          0.00031445,             0.97742,                 0.9,             0.96118,             0.62902,            0.024649,           0.0075368,           0.0012412,           0.0042085,           0.0042085,           0.0042085
                 119,            0.021415,            0.010096,          0.00035287,             0.98231,             0.95674,             0.97713,             0.63794,            0.024765,           0.0074503,          0.00077293,            0.004159,            0.004159,            0.004159
                 120,            0.021566,            0.010208,          0.00034634,             0.98032,             0.93364,             0.97485,             0.63721,            0.024299,           0.0074957,           0.0010545,           0.0041095,           0.0041095,           0.0041095
                 121,            0.021315,             0.01015,          0.00029301,             0.98792,             0.92111,             0.97995,             0.63649,            0.024519,           0.0076092,          0.00096891,             0.00406,             0.00406,             0.00406
                 122,            0.021303,            0.010118,          0.00033645,             0.93617,              0.9437,             0.97548,             0.63985,            0.024367,           0.0073929,           0.0008788,           0.0040105,           0.0040105,           0.0040105
                 123,            0.021207,            0.010138,          0.00033658,             0.97562,             0.93453,             0.97087,             0.63172,            0.024486,             0.00742,           0.0010674,            0.003961,            0.003961,            0.003961
                 124,            0.021136,           0.0099083,          0.00025308,             0.98942,             0.91344,               0.969,             0.64171,            0.024186,            0.007415,           0.0011272,           0.0039115,           0.0039115,           0.0039115
                 125,            0.021339,           0.0098351,          0.00025992,             0.97759,             0.90992,             0.96042,             0.63132,            0.024362,           0.0073642,           0.0011567,            0.003862,            0.003862,            0.003862
                 126,            0.020907,           0.0098231,          0.00019014,             0.93999,             0.95836,             0.97391,             0.63354,            0.024187,           0.0074768,           0.0011068,           0.0038125,           0.0038125,           0.0038125
                 127,            0.021344,           0.0099428,          0.00028063,             0.93953,             0.94501,             0.97696,             0.64089,            0.024094,            0.007451,           0.0012752,            0.003763,            0.003763,            0.003763
                 128,            0.021128,           0.0098278,          0.00039382,             0.98326,             0.88323,              0.9582,             0.63316,            0.024378,           0.0076501,          0.00081594,           0.0037135,           0.0037135,           0.0037135
                 129,            0.021045,           0.0097432,          0.00027159,             0.95656,             0.94819,             0.96142,             0.62577,            0.024214,           0.0078168,           0.0010451,            0.003664,            0.003664,            0.003664
                 130,            0.021159,            0.010017,          0.00038302,             0.97102,             0.91573,             0.96108,             0.63001,             0.02437,            0.007756,          0.00084027,           0.0036145,           0.0036145,           0.0036145
                 131,            0.020615,           0.0098654,          0.00029222,             0.97729,             0.92101,             0.96621,             0.63913,            0.024423,           0.0077253,          0.00086417,            0.003565,            0.003565,            0.003565
                 132,            0.020572,           0.0097048,          0.00029817,             0.97687,             0.89798,             0.95819,             0.64197,            0.024455,           0.0077812,          0.00058288,           0.0035155,           0.0035155,           0.0035155
                 133,             0.02078,           0.0098001,          0.00031442,             0.98896,             0.88972,             0.95818,             0.63959,             0.02453,           0.0076938,          0.00056553,            0.003466,            0.003466,            0.003466
                 134,            0.020578,           0.0097734,          0.00032758,             0.94409,              0.9228,             0.96219,             0.63235,            0.024439,           0.0076263,          0.00050604,           0.0034165,           0.0034165,           0.0034165
                 135,            0.020747,           0.0097496,          0.00020591,             0.94238,             0.92928,             0.96035,              0.6405,            0.024233,           0.0076014,          0.00051672,            0.003367,            0.003367,            0.003367
                 136,             0.02048,           0.0096459,           0.0002043,             0.95709,              0.9033,             0.95592,             0.63166,            0.024453,           0.0075801,          0.00059357,           0.0033175,           0.0033175,           0.0033175
                 137,            0.020193,           0.0096502,          0.00025328,             0.93705,             0.93366,             0.96367,              0.6476,            0.024572,           0.0075448,          0.00097563,            0.003268,            0.003268,            0.003268
                 138,            0.020385,           0.0097376,          0.00033925,             0.97773,             0.88032,             0.96277,             0.63989,            0.024281,           0.0076328,           0.0010773,           0.0032185,           0.0032185,           0.0032185
                 139,            0.020478,           0.0097984,          0.00042118,             0.96332,             0.93923,              0.9687,             0.64303,            0.024294,           0.0075667,           0.0007256,            0.003169,            0.003169,            0.003169
                 140,            0.020621,           0.0096661,          0.00052587,             0.93852,             0.93837,             0.96296,             0.64796,              0.0243,           0.0075398,          0.00088551,           0.0031195,           0.0031195,           0.0031195
                 141,             0.02021,           0.0096649,          0.00031422,             0.98162,             0.89915,             0.95508,              0.6375,             0.02408,           0.0075345,           0.0012808,             0.00307,             0.00307,             0.00307
                 142,            0.020278,           0.0094383,          0.00026051,             0.95315,              0.9508,             0.97506,             0.63859,            0.024295,           0.0076862,           0.0011394,           0.0030205,           0.0030205,           0.0030205
                 143,            0.020201,           0.0095552,          0.00038032,             0.92848,             0.94806,             0.97635,             0.64016,            0.024042,           0.0076922,            0.001064,            0.002971,            0.002971,            0.002971
                 144,             0.02015,             0.00957,          0.00031039,             0.94604,             0.96566,             0.98189,             0.63595,            0.024391,           0.0075305,          0.00099678,           0.0029215,           0.0029215,           0.0029215
                 145,            0.019974,           0.0094753,          0.00026043,             0.93003,             0.95862,             0.97545,             0.63348,            0.024484,            0.007576,          0.00088866,            0.002872,            0.002872,            0.002872
                 146,            0.019658,           0.0094152,          0.00019617,             0.91917,             0.97174,             0.97659,             0.64126,            0.024266,           0.0075318,          0.00077412,           0.0028225,           0.0028225,           0.0028225
                 147,            0.019858,           0.0095358,          0.00022167,             0.92584,             0.96436,             0.97794,              0.6411,            0.024444,           0.0076776,          0.00078397,            0.002773,            0.002773,            0.002773
                 148,            0.019767,           0.0096777,          0.00019536,             0.95476,             0.97763,             0.98162,              0.6384,            0.024529,           0.0075758,          0.00057024,           0.0027235,           0.0027235,           0.0027235
                 149,            0.019685,            0.009452,          0.00021601,             0.98764,             0.90096,             0.96277,             0.64188,            0.024268,           0.0076312,          0.00060453,            0.002674,            0.002674,            0.002674
                 150,             0.01955,             0.00939,          0.00026475,             0.96281,             0.91926,             0.96378,             0.64842,            0.024232,             0.00763,          0.00083832,           0.0026245,           0.0026245,           0.0026245
                 151,            0.019393,            0.009231,          0.00019198,             0.94308,              0.9371,             0.96141,             0.64337,            0.024253,           0.0077669,          0.00091472,            0.002575,            0.002575,            0.002575
                 152,            0.019371,            0.009376,          0.00017958,             0.98534,             0.91478,             0.96008,              0.6406,            0.024073,           0.0077324,          0.00081054,           0.0025255,           0.0025255,           0.0025255
                 153,             0.01904,           0.0091658,          0.00025166,             0.98941,              0.9157,             0.96527,             0.64633,            0.024037,           0.0077545,          0.00076433,            0.002476,            0.002476,            0.002476
                 154,            0.019326,           0.0093458,          0.00025338,             0.98913,              0.9187,              0.9679,             0.64471,            0.024238,           0.0077368,          0.00088644,           0.0024265,           0.0024265,           0.0024265
                 155,            0.019309,           0.0091443,           0.0002355,             0.98419,             0.91124,             0.96198,             0.64626,            0.024268,           0.0077008,           0.0009671,            0.002377,            0.002377,            0.002377
